70,39,1 
8,89,0 
54,5,1 
15,76,0 
96,17,1 
42,51,0 
19,58,0 
33,65,0 
100,36,1 
89,19,1 
87,9,1 
44,58,0 
79,9,1 
55,45,1 
36,62,0 
61,33,1 
54,10,1 
45,84,0 
75,31,1 
1,67,0 
96,2,1 
18,71,0 
72,7,1 
100,19,1 
33,94,0 
1,66,0 
58,34,1 
3,84,0 
4,76,0 
27,95,0 
64,28,1 
9,100,0 
22,61,0 
71,31,1 
67,30,1 
74,5,1 
93,7,1 
43,96,0 
38,81,0 
14,52,0 
18,52,0 
4,97,0 
33,60,0 
44,89,0 
64,37,1 
74,27,1 
37,70,0 
1,74,0 
12,89,0 
83,4,1 
0,67,0 
74,21,1 
58,19,1 
14,97,0 
53,48,1 
78,4,1 
72,4,1 
83,37,1 
87,0,1 
64,5,1 
16,76,0 
8,76,0 
36,92,0 
35,88,0 
53,25,1 
65,3,1 
85,32,1 
52,6,1 
6,51,0 
55,16,1 
53,41,1 
77,45,1 
28,97,0 
36,85,0 
41,71,0 
6,88,0 
16,92,0 
20,59,0 
25,92,0 
15,66,0 
54,12,1 
65,35,1 
28,81,0 
74,44,1 
4,59,0 
90,36,1 
11,75,0 
87,28,1 
59,48,1 
89,31,1 
51,13,1 
39,78,0 
45,60,0 
87,39,1 
89,19,1 
22,63,0 
11,77,0 
17,95,0 
67,24,1 
78,17,1 
9,91,0 
26,88,0 
33,83,0 
14,64,0 
77,27,1 
0,89,0 
77,3,1 
17,74,0 
41,63,0 
72,40,1 
31,56,0 
88,45,1 
8,77,0 
29,87,0 
35,95,0 
67,23,1 
57,32,1 
81,42,1 
51,38,1 
28,96,0 
54,3,1 
16,89,0 
78,10,1 
41,97,0 
92,48,1 
47,61,0 
10,84,0 
20,96,0 
62,30,1 
36,83,0 
9,97,0 
9,86,0 
72,47,1 
35,79,0 
41,52,0 
58,47,1 
89,21,1 
82,1,1 
32,97,0 
0,69,0 
100,46,1 
81,38,1 
32,71,0 
39,77,0 
34,88,0 
97,34,1 
96,4,1 
76,30,1 
59,31,1 
63,17,1 
33,88,0 
31,62,0 
10,56,0 
4,58,0 
73,0,1 
36,90,0 
12,98,0 
35,77,0 
42,92,0 
2,97,0 
52,23,1 
69,33,1 
92,13,1 
42,89,0 
87,3,1 
35,60,0 
54,24,1 
56,0,1 
79,0,1 
99,26,1 
94,6,1 
66,10,1 
62,36,1 
11,97,0 
59,21,1 
3,51,0 
93,30,1 
5,95,0 
64,0,1 
55,24,1 
68,10,1 
91,41,1 
33,90,0 
9,98,0 
72,43,1 
45,83,0 
36,70,0 
3,98,0 
96,48,1 
55,13,1 
10,71,0 
83,30,1 
73,13,1 
87,33,1 
80,33,1 
75,14,1 
70,44,1 
12,75,0 
99,35,1 
44,66,0 
40,78,0 
56,23,1 
53,23,1 
99,38,1 
19,97,0 
3,94,0 
43,90,0 
90,25,1 
41,99,0 
75,23,1 
29,96,0 
69,15,1 
31,96,0 
93,36,1 
74,35,1 
33,88,0 
20,79,0 
49,68,0 
100,7,1 
56,2,1 
79,31,1 
28,51,0 
37,90,0 
66,29,1 
46,70,0 
38,66,0 
85,42,1 
76,38,1 
43,85,0 
31,80,0 
48,54,0 
19,77,0 
31,61,0 
73,10,1 
11,92,0 
53,49,1 
29,69,0 
75,19,1 
78,45,1 
52,39,1 
74,33,1 
3,72,0 
9,90,0 
55,24,1 
14,68,0 
67,8,1 
69,9,1 
83,32,1 
48,96,0 
25,95,0 
3,96,0 
25,87,0 
72,19,1 
93,19,1 
2,58,0 
51,24,1 
41,94,0 
66,31,1 
51,17,1 
73,38,1 
87,12,1 
59,22,1 
44,63,0 
40,79,0 
41,57,0 
1,51,0 
83,16,1 
18,76,0 
53,6,1 
52,14,1 
51,46,1 
66,21,1 
85,0,1 
85,9,1 
16,57,0 
76,1,1 
28,66,0 
63,24,1 
78,43,1 
88,6,1 
25,69,0 
98,44,1 
83,41,1 
96,5,1 
20,74,0 
30,52,0 
27,52,0 
61,38,1 
84,32,1 
12,60,0 
26,89,0 
62,47,1 
90,32,1 
78,14,1 
41,93,0 
8,91,0 
36,73,0 
59,16,1 
17,76,0 
36,57,0 
69,41,1 
100,1,1 
87,13,1 
53,5,1 
44,72,0 
45,74,0 
18,83,0 
4,77,0 
81,46,1 
12,93,0 
59,22,1 
100,10,1 
49,88,0 
97,3,1 
33,98,0 
86,42,1 
58,26,1 
59,8,1 
82,0,1 
99,25,1 
38,61,0 
78,13,1 
32,86,0 
93,25,1 
75,1,1 
60,33,1 
84,21,1 
43,96,0 
29,65,0 
92,20,1 
22,69,0 
52,8,1 
37,58,0 
15,85,0 
0,57,0 
42,52,0 
92,8,1 
12,60,0 
99,34,1 
99,26,1 
86,32,1 
39,73,0 
26,60,0 
87,22,1 
46,73,0 
65,16,1 
15,93,0 
43,79,0 
70,17,1 
65,2,1 
42,84,0 
54,45,1 
48,53,0 
63,3,1 
1,58,0 
27,75,0 
45,98,0 
22,83,0 
90,12,1 
56,48,1 
55,28,1 
